Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1998,Raí,Attacking Midfield,32,Brazil,Paris SG,France Ligue 1,48,18,2,20
1998,Stefan Beinlich,Attacking Midfield,25,Germany,B. Leverkusen,Germany Bundesliga,41,13,7,20
1998,Youri Djorkaeff,Attacking Midfield,29,France,Inter,Italy Serie A,42,8,12,20
1998,Mario Basler,Right Midfield,28,Germany,Bayern Munich,Germany Bundesliga,33,9,9,18
1998,Clarence Seedorf,Central Midfield,21,Netherlands,Real Madrid,Spain LaLiga,49,7,11,18
1998,Dorinel Munteanu,Central Midfield,29,Romania,1.FC Köln,Germany Bundesliga,38,5,13,18
1998,Matt Le Tissier,Attacking Midfield,28,England,Southampton,England Premier League,30,14,3,17
1998,Stéphane Ziani,Attacking Midfield,25,France,Lens,France Ligue 1,40,14,2,16
1998,Neil Redfearn,Central Midfield,32,England,Barnsley,England Premier League,44,12,4,16
1998,Paul Scholes,Central Midfield,22,England,Man Utd,England Premier League,42,10,6,16
1998,Stefan Effenberg,Attacking Midfield,28,Germany,Bor. M'gladbach,Germany Bundesliga,29,8,8,16
1998,Hasan Salihamidzic,Right Midfield,20,Bosnia-Herzegovina,Hamburger SV,Germany Bundesliga,38,11,4,15
1998,Alessandro Del Piero,Second Striker,22,Italy,Juventus,Italy Serie A,47,32,16,48
1998,Stéphane Guivarc'h,Centre-Forward,26,France,AJ Auxerre,France Ligue 1,53,46,1,47
1998,Ronaldo,Centre-Forward,20,Brazil,Inter,Italy Serie A,47,34,4,38
1998,Oliver Bierhoff,Centre-Forward,29,Germany,Udinese,Italy Serie A,39,31,7,38
1998,Michael Owen,Centre-Forward,17,England,Liverpool,England Premier League,44,23,14,37
1998,Dennis Bergkamp,Second Striker,28,Netherlands,Arsenal,England Premier League,40,22,14,36
1998,Filippo Inzaghi,Centre-Forward,23,Italy,Juventus,Italy Serie A,46,27,7,34
1998,Andy Cole,Centre-Forward,25,England,Man Utd,England Premier League,45,25,9,34
1998,Giovane Élber,Centre-Forward,24,Brazil,Bayern Munich,Germany Bundesliga,44,21,13,34
1998,Ulf Kirsten,Centre-Forward,31,Germany,B. Leverkusen,Germany Bundesliga,40,27,6,33
1998,John Hartson,Centre-Forward,22,Wales,West Ham,England Premier League,41,23,10,33
1998,Dion Dublin,Centre-Forward,28,England,Coventry,England Premier League,43,23,10,33
1998,Roberto Baggio,Second Striker,30,Italy,Bologna,Italy Serie A,33,23,10,33
1998,Enrico Chiesa,Centre-Forward,26,Italy,AC Parma,Italy Serie A,48,21,11,32
1998,Christian Vieri,Centre-Forward,23,Italy,Atlético Madrid,Spain LaLiga,32,29,1,30
1998,Gabriel Batistuta,Centre-Forward,28,Argentina,Fiorentina,Italy Serie A,36,24,6,30
1998,Carsten Jancker,Centre-Forward,22,Germany,Bayern Munich,Germany Bundesliga,44,23,7,30
1998,Stéphane Chapuisat,Centre-Forward,28,Switzerland,Bor. Dortmund,Germany Bundesliga,42,20,9,29
1998,Teddy Sheringham,Centre-Forward,31,England,Man Utd,England Premier League,42,14,13,27
1998,Olaf Marschall,Centre-Forward,31,Germany,1.FC K'lautern,Germany Bundesliga,26,23,3,26
1998,Roberto Mancini,Second Striker,32,Italy,Lazio,Italy Serie A,52,9,17,26
1998,Fredi Bobic,Centre-Forward,25,Germany,VfB Stuttgart,Germany Bundesliga,44,22,3,25
1998,Vincenzo Montella,Centre-Forward,23,Italy,Sampdoria,Italy Serie A,39,21,4,25
1999,Siniša Mihajlović,Centre-Back,29,Serbia,Lazio,Italy Serie A,44,9,13,22
1999,Roberto Carlos,Left-Back,25,Brazil,Real Madrid,Spain LaLiga,48,5,13,18
1999,Ian Harte,Left-Back,20,Ireland,Leeds,England Premier League,42,6,7,13
1999,Fernando Hierro,Centre-Back,30,Spain,Real Madrid,Spain LaLiga,39,8,3,11
1999,Javier Zanetti,Right-Back,24,Argentina,Inter,Italy Serie A,48,4,7,11
1999,Robert Jarni,Left-Back,29,Croatia,Real Madrid,Spain LaLiga,35,3,7,10
1999,Teddy Bertin,Centre-Back,28,France,R. Strasbourg,France Ligue 1,37,9,0,9
1999,Sol Campbell,Centre-Back,23,England,Tottenham,England Premier League,52,8,0,8
1999,Franck Silvestre,Centre-Back,31,France,Montpellier,France Ligue 1,38,8,0,8
1999,Thomas Reis,Left-Back,24,Germany,VfL Bochum,Germany Bundesliga,27,7,1,8
1999,Frank Leboeuf,Centre-Back,30,France,Chelsea,England Premier League,46,7,1,8
1999,Paolo Vanoli,Left-Back,25,Italy,AC Parma,Italy Serie A,30,4,4,8
1999,Jörg Heinrich,Left-Back,28,Germany,Fiorentina,Italy Serie A,46,3,5,8
1999,Edu Alonso,Right-Back,24,Spain,UD Salamanca,Spain LaLiga,36,3,5,8
1999,Michael Tarnat,Left-Back,28,Germany,Bayern Munich,Germany Bundesliga,34,2,6,8
1999,Michael Schjønberg,Centre-Back,31,Denmark,1.FC K'lautern,Germany Bundesliga,18,6,1,7
1999,Alain Roche,Centre-Back,30,France,Valencia,Spain LaLiga,41,5,2,7
1999,Celestine Babayaro,Left-Back,19,Nigeria,Chelsea,England Premier League,44,4,3,7
1999,Michele Serena,Left-Back,28,Italy,Atlético Madrid,Spain LaLiga,51,4,3,7
1999,Jörg Neun,Left-Back,32,Germany,MSV Duisburg,Germany Bundesliga,30,3,4,7
1999,Vegard Heggem,Right-Back,22,Norway,Liverpool,England Premier League,36,2,5,7
1999,Michael Frontzeck,Left-Back,34,Germany,Multiple clubs,N/A,34,1,6,7
1999,Tomasz Hajto,Centre-Back,25,Poland,MSV Duisburg,Germany Bundesliga,34,4,2,6
1999,Bixente Lizarazu,Left-Back,28,France,Bayern Munich,Germany Bundesliga,33,3,3,6
1999,Denis Irwin,Left-Back,32,Ireland,Man Utd,England Premier League,48,3,3,6
1999,Rivaldo,Attacking Midfield,26,Brazil,Barcelona,Spain LaLiga,48,29,18,47
1999,David Beckham,Central Midfield,23,England,Man Utd,England Premier League,55,9,20,29
1999,Stefan Effenberg,Attacking Midfield,29,Germany,Bayern Munich,Germany Bundesliga,51,16,10,26
1999,Rui Costa,Attacking Midfield,26,Portugal,Fiorentina,Italy Serie A,40,14,11,25
1999,Paul Scholes,Central Midfield,23,England,Man Utd,England Premier League,51,11,12,23
1999,Phillip Cocu,Defensive Midfield,27,Netherlands,Barcelona,Spain LaLiga,47,12,9,21
1999,Mario Basler,Right Midfield,29,Germany,Bayern Munich,Germany Bundesliga,43,11,9,20
1999,Gaizka Mendieta,Right Midfield,24,Spain,Valencia,Spain LaLiga,52,11,9,20
1999,Robert Pirès,Left Midfield,24,France,Marseille,France Ligue 1,47,9,11,20
1999,Clarence Seedorf,Central Midfield,22,Netherlands,Real Madrid,Spain LaLiga,51,7,13,20
1999,Diego Fuser,Right Midfield,29,Italy,AC Parma,Italy Serie A,48,7,13,20
1999,Luis Enrique,Right Midfield,28,Spain,Barcelona,Spain LaLiga,34,12,7,19
1999,Youri Djorkaeff,Attacking Midfield,30,France,Inter,Italy Serie A,36,14,4,18
1999,Gustavo Poyet,Attacking Midfield,30,Uruguay,Chelsea,England Premier League,38,14,4,18
1999,Stefan Beinlich,Attacking Midfield,26,Germany,B. Leverkusen,Germany Bundesliga,31,9,9,18
1999,Juan Sebastián Verón,Central Midfield,23,Argentina,AC Parma,Italy Serie A,42,4,14,18
1999,Johan Micoud,Attacking Midfield,24,France,G. Bordeaux,France Ligue 1,41,12,5,17
1999,Ariel Ortega,Attacking Midfield,24,Argentina,Sampdoria,Italy Serie A,31,9,8,17
1999,Steve Guppy,Left Midfield,29,England,Leicester,England Premier League,48,5,12,17
1999,Juninho Paulista,Attacking Midfield,25,Brazil,Atlético Madrid,Spain LaLiga,48,13,3,16
1999,Aleksandr Mostovoy,Attacking Midfield,29,Russia,Celta de Vigo,Spain LaLiga,41,9,7,16
1999,Andreas Möller,Attacking Midfield,30,Germany,Bor. Dortmund,Germany Bundesliga,32,7,9,16
1999,Ryan Giggs,Left Midfield,24,Wales,Man Utd,England Premier League,41,10,5,15
1999,Patrik Berger,Attacking Midfield,24,Czech Republic,Liverpool,England Premier League,41,9,6,15
1999,Milan Rapaic,Left Midfield,24,Croatia,Perugia,Italy Serie A,34,9,6,15
1999,Dwight Yorke,Centre-Forward,26,Trinidad and Tobago,Multiple clubs,N/A,52,29,19,48
1999,Claudio López,Centre-Forward,23,Argentina,Valencia,Spain LaLiga,46,36,11,47
1999,Carsten Jancker,Centre-Forward,23,Germany,Bayern Munich,Germany Bundesliga,45,21,14,35
1999,Enrico Chiesa,Centre-Forward,27,Italy,AC Parma,Italy Serie A,46,18,17,35
1999,Raúl,Second Striker,21,Spain,Real Madrid,Spain LaLiga,48,28,6,34
1999,Hernán Crespo,Centre-Forward,22,Argentina,AC Parma,Italy Serie A,45,28,5,33
1999,Oliver Bierhoff,Centre-Forward,30,Germany,Milan,Italy Serie A,37,21,11,32
1999,Sylvain Wiltord,Second Striker,24,France,G. Bordeaux,France Ligue 1,42,27,4,31
1999,Márcio Amoroso,Centre-Forward,23,Brazil,Udinese,Italy Serie A,41,24,7,31
1999,Andy Cole,Centre-Forward,26,England,Man Utd,England Premier League,50,24,7,31
1999,Giovane Élber,Centre-Forward,25,Brazil,Bayern Munich,Germany Bundesliga,37,21,10,31
1999,Jimmy Floyd Hasselbaink,Centre-Forward,26,Netherlands,Leeds,England Premier League,45,19,12,31
1999,Gabriel Batistuta,Centre-Forward,29,Argentina,Fiorentina,Italy Serie A,41,26,4,30
1999,Michael Owen,Centre-Forward,18,England,Liverpool,England Premier League,40,23,7,30
1999,Marcelo Salas,Centre-Forward,23,Chile,Lazio,Italy Serie A,43,23,7,30
1999,Patrick Kluivert,Centre-Forward,22,Netherlands,Barcelona,Spain LaLiga,38,16,14,30
1999,Francesco Totti,Second Striker,21,Italy,AS Roma,Italy Serie A,42,16,14,30
1999,Marco Delvecchio,Centre-Forward,25,Italy,AS Roma,Italy Serie A,42,23,6,29
1999,Dennis Bergkamp,Second Striker,29,Netherlands,Arsenal,England Premier League,39,16,13,29
1999,Fernando Morientes,Centre-Forward,22,Spain,Real Madrid,Spain LaLiga,43,25,3,28
1999,Michael Preetz,Centre-Forward,30,Germany,Hertha BSC,Germany Bundesliga,36,24,4,28
1999,Alan Shearer,Centre-Forward,27,England,Newcastle,England Premier League,40,21,7,28
1999,Luís Figo,Right Winger,25,Portugal,Barcelona,Spain LaLiga,45,8,20,28
1999,Darko Kovacevic,Centre-Forward,24,Serbia,Real Sociedad,Spain LaLiga,37,24,3,27
1999,Giuseppe Signori,Centre-Forward,30,Italy,Bologna,Italy Serie A,45,22,5,27
2000,Siniša Mihajlović,Centre-Back,30,Serbia,Lazio,Italy Serie A,46,13,7,20
2000,Roberto Carlos,Left-Back,26,Brazil,Real Madrid,Spain LaLiga,55,8,8,16
2000,Matt Elliott,Centre-Back,30,Scotland,Leicester,England Premier League,48,11,3,14
2000,Ian Harte,Left-Back,21,Ireland,Leeds,England Premier League,49,8,6,14
2000,David Unsworth,Left-Back,25,England,Everton,England Premier League,37,9,3,12
2000,Levan Kobiashvili,Left-Back,21,Georgia,SC Freiburg,Germany Bundesliga,37,7,3,10
2000,Fernando Hierro,Centre-Back,31,Spain,Real Madrid,Spain LaLiga,32,6,4,10
2000,Grigoris Georgatos,Left-Back,26,Greece,Inter,Italy Serie A,34,3,7,10
2000,Dan Petrescu,Right-Back,31,Romania,Chelsea,England Premier League,47,5,4,9
2000,Heiko Gerber,Left-Back,26,Germany,VfB Stuttgart,Germany Bundesliga,32,4,5,9
2000,Didier Domi,Left-Back,21,France,Newcastle,England Premier League,36,4,5,9
2000,Michael Tarnat,Left-Back,29,Germany,Bayern Munich,Germany Bundesliga,41,3,6,9
2000,Jörg Heinrich,Left-Back,29,Germany,Fiorentina,Italy Serie A,41,2,7,9
2000,Alan Wright,Left-Back,27,England,Aston Villa,England Premier League,42,1,8,9
2000,Gerry Taggart,Centre-Back,28,Northern Ireland,Leicester,England Premier League,44,7,1,8
2000,Jordi Ferrón,Right-Back,20,Spain,Rayo Vallecano,Spain LaLiga,40,7,1,8
2000,Jeff Strasser,Centre-Back,24,Luxembourg,1.FC K'lautern,Germany Bundesliga,35,2,6,8
2000,Evanilson,Right-Back,23,Brazil,Bor. Dortmund,Germany Bundesliga,34,0,8,8
2000,Harry Koch,Centre-Back,29,Germany,1.FC K'lautern,Germany Bundesliga,38,7,0,7
2000,Janusz Góra,Centre-Back,35,Poland,SSV Ulm 1846,Germany Bundesliga,28,4,3,7
2000,Laurén,Right-Back,22,Cameroon,RCD Mallorca,Spain LaLiga,41,4,3,7
2000,Vincent Candela,Left-Back,25,France,AS Roma,Italy Serie A,38,4,3,7
2000,Carlos Llorens,Left-Back,30,Spain,Rayo Vallecano,Spain LaLiga,40,4,3,7
2000,Bernd Hollerbach,Left-Back,29,Germany,Hamburger SV,Germany Bundesliga,23,4,3,7
2000,Jean-François Hernandez,Centre-Back,30,France,Rayo Vallecano,Spain LaLiga,37,4,3,7
2000,Rivaldo,Attacking Midfield,27,Brazil,Barcelona,Spain LaLiga,50,23,6,29
2000,David Beckham,Central Midfield,24,England,Man Utd,England Premier League,45,8,19,27
2000,Gaizka Mendieta,Right Midfield,25,Spain,Valencia,Spain LaLiga,51,18,6,24
2000,Andreas Herzog,Attacking Midfield,30,Austria,Werder Bremen,Germany Bundesliga,41,8,16,24
2000,Antoine Sibierski,Attacking Midfield,24,France,FC Nantes,France Ligue 1,42,23,0,23
2000,Juan Sebastián Verón,Central Midfield,24,Argentina,Lazio,Italy Serie A,47,10,12,22
2000,Markus Weissenberger,Attacking Midfield,24,Austria,Arm. Bielefeld,Germany Bundesliga,36,9,13,22
2000,Aleksandr Mostovoy,Attacking Midfield,30,Russia,Celta de Vigo,Spain LaLiga,34,8,14,22
2000,Nolberto Solano,Right Midfield,24,Peru,Newcastle,England Premier League,40,4,18,22
2000,Gustavo Poyet,Attacking Midfield,31,Uruguay,Chelsea,England Premier League,53,18,3,21
2000,Stefano Fiore,Attacking Midfield,24,Italy,Udinese,Italy Serie A,42,10,11,21
2000,Ryan Giggs,Left Midfield,25,Wales,Man Utd,England Premier League,41,7,14,21
2000,Youri Djorkaeff,Attacking Midfield,31,France,1.FC K'lautern,Germany Bundesliga,31,13,7,20
2000,Stefan Beinlich,Attacking Midfield,27,Germany,B. Leverkusen,Germany Bundesliga,39,12,8,20
2000,Paul Scholes,Central Midfield,24,England,Man Utd,England Premier League,44,12,8,20
2000,Stefan Effenberg,Attacking Midfield,30,Germany,Bayern Munich,Germany Bundesliga,44,4,16,20
2000,Frank Lampard,Central Midfield,21,England,West Ham,England Premier League,48,13,6,19
2000,Luis Cembranos,Attacking Midfield,27,Spain,Rayo Vallecano,Spain LaLiga,38,6,13,19
2000,Djalminha,Attacking Midfield,28,Brazil,Dep. La Coruña,Spain LaLiga,39,13,5,18
2000,Thomas Häßler,Attacking Midfield,33,Germany,1860 Munich,Germany Bundesliga,35,8,10,18
2000,Luis Enrique,Right Midfield,29,Spain,Barcelona,Spain LaLiga,33,12,5,17
2000,Vasilios Tsiartas,Attacking Midfield,26,Greece,Sevilla FC,Spain LaLiga,35,11,6,17
2000,Jovan Stankovic,Left Midfield,28,Serbia,RCD Mallorca,Spain LaLiga,33,11,6,17
2000,Mehmet Scholl,Attacking Midfield,28,Germany,Bayern Munich,Germany Bundesliga,42,10,7,17
2000,Gary Speed,Central Midfield,29,Wales,Newcastle,England Premier League,49,13,3,16
2000,Alan Shearer,Centre-Forward,28,England,Newcastle,England Premier League,50,30,13,43
2000,Jimmy Floyd Hasselbaink,Centre-Forward,27,Netherlands,Atlético Madrid,Spain LaLiga,47,35,4,39
2000,Raúl,Second Striker,22,Spain,Real Madrid,Spain LaLiga,53,27,12,39
2000,Claudio López,Centre-Forward,24,Argentina,Valencia,Spain LaLiga,54,18,21,39
2000,Thierry Henry,Centre-Forward,21,France,Multiple clubs,N/A,49,26,12,38
2000,Luís Figo,Right Winger,26,Portugal,Barcelona,Spain LaLiga,51,14,24,38
2000,Andriy Shevchenko,Centre-Forward,22,Ukraine,Milan,Italy Serie A,43,29,8,37
2000,Patrick Kluivert,Centre-Forward,23,Netherlands,Barcelona,Spain LaLiga,44,25,12,37
2000,Kevin Phillips,Centre-Forward,25,England,Sunderland,England Premier League,37,30,4,34
2000,Hernán Crespo,Centre-Forward,23,Argentina,AC Parma,Italy Serie A,42,26,8,34
2000,Filippo Inzaghi,Centre-Forward,25,Italy,Juventus,Italy Serie A,43,26,8,34
2000,Paulo Sérgio,Right Winger,30,Brazil,Bayern Munich,Germany Bundesliga,48,22,11,33
2000,Gabriel Batistuta,Centre-Forward,30,Argentina,Fiorentina,Italy Serie A,43,28,4,32
2000,Alessandro Del Piero,Second Striker,24,Italy,Juventus,Italy Serie A,45,12,20,32
2000,Salva Ballesta,Centre-Forward,24,Spain,Racing,Spain LaLiga,38,27,4,31
2000,Roy Makaay,Centre-Forward,24,Netherlands,Dep. La Coruña,Spain LaLiga,46,26,5,31
2000,Diego Tristán,Centre-Forward,23,Spain,RCD Mallorca,Spain LaLiga,46,23,7,30
2000,Nwankwo Kanu,Centre-Forward,22,Nigeria,Arsenal,England Premier League,50,17,13,30
2000,Aílton,Centre-Forward,25,Brazil,Werder Bremen,Germany Bundesliga,45,16,14,30
2000,Sonny Anderson,Centre-Forward,28,Brazil,Olympique Lyon,France Ligue 1,45,28,1,29
2000,Dwight Yorke,Centre-Forward,27,Trinidad and Tobago,Man Utd,England Premier League,44,23,6,29
2000,Catanha,Centre-Forward,27,Spain,Málaga CF,Spain LaLiga,34,25,3,28
2000,Savo Milošević,Centre-Forward,25,Serbia,Real Zaragoza,Spain LaLiga,42,22,5,27
2000,Vincenzo Montella,Centre-Forward,25,Italy,AS Roma,Italy Serie A,41,21,6,27
2001,Roberto Carlos,Left-Back,27,Brazil,Real Madrid,Spain LaLiga,51,9,13,22
2001,Ian Harte,Left-Back,22,Ireland,Leeds,England Premier League,48,11,8,19
2001,Iván Helguera,Centre-Back,25,Spain,Real Madrid,Spain LaLiga,48,11,3,14
2001,Levan Kobiashvili,Left-Back,22,Georgia,SC Freiburg,Germany Bundesliga,35,9,5,14
2001,Markus Babbel,Centre-Back,27,Germany,Liverpool,England Premier League,60,6,8,14
2001,Cosmin Contra,Right-Back,24,Romania,Alavés,Spain LaLiga,44,6,7,13
2001,Frank de Boer,Centre-Back,30,Netherlands,Barcelona,Spain LaLiga,52,5,8,13
2001,Marco Materazzi,Centre-Back,26,Italy,Perugia,Italy Serie A,33,12,0,12
2001,Siniša Mihajlović,Centre-Back,31,Serbia,Lazio,Italy Serie A,29,8,4,12
2001,Serginho,Left-Back,29,Brazil,Milan,Italy Serie A,37,5,7,12
2001,Evanilson,Right-Back,24,Brazil,Bor. Dortmund,Germany Bundesliga,31,3,8,11
2001,Júnior,Left-Back,27,Brazil,AC Parma,Italy Serie A,31,3,8,11
2001,Cafu,Right-Back,30,Brazil,AS Roma,Italy Serie A,40,1,10,11
2001,Cristian Díaz,Left-Back,24,Argentina,Udinese,Italy Serie A,47,1,9,10
2001,Harry Koch,Centre-Back,30,Germany,1.FC K'lautern,Germany Bundesliga,41,7,2,9
2001,Igor Tudor,Centre-Back,22,Croatia,Juventus,Italy Serie A,32,7,2,9
2001,Fernando Hierro,Centre-Back,32,Spain,Real Madrid,Spain LaLiga,42,6,3,9
2001,Jörg Heinrich,Left-Back,30,Germany,Bor. Dortmund,Germany Bundesliga,33,5,4,9
2001,Zoltan Sebescen,Right-Back,24,Germany,VfL Wolfsburg,Germany Bundesliga,27,5,4,9
2001,Kakhaber Kaladze,Centre-Back,22,Georgia,Multiple clubs,N/A,25,4,5,9
2001,Francesco Coco,Left-Back,23,Italy,Milan,Italy Serie A,44,4,5,9
2001,Jeff Strasser,Centre-Back,25,Luxembourg,1.FC K'lautern,Germany Bundesliga,45,3,6,9
2001,Vincent Candela,Left-Back,26,France,AS Roma,Italy Serie A,40,3,6,9
2001,Danny Tiatto,Left-Back,27,Australia,Man City,England Premier League,39,2,7,9
2001,Aitor López Rekarte,Right-Back,24,Spain,Real Sociedad,Spain LaLiga,37,1,8,9
2001,Rivaldo,Attacking Midfield,28,Brazil,Barcelona,Spain LaLiga,53,36,10,46
2001,Guti,Central Midfield,23,Spain,Real Madrid,Spain LaLiga,45,18,7,25
2001,Mehmet Scholl,Attacking Midfield,29,Germany,Bayern Munich,Germany Bundesliga,48,16,9,25
2001,Gaizka Mendieta,Right Midfield,26,Spain,Valencia,Spain LaLiga,47,14,11,25
2001,David Beckham,Central Midfield,25,England,Man Utd,England Premier League,46,9,16,25
2001,Jörg Böhme,Left Midfield,26,Germany,FC Schalke 04,Germany Bundesliga,35,14,10,24
2001,Aleksandr Mostovoy,Attacking Midfield,31,Russia,Celta de Vigo,Spain LaLiga,45,13,11,24
2001,Luis Enrique,Right Midfield,30,Spain,Barcelona,Spain LaLiga,41,16,7,23
2001,Pavel Nedved,Left Midfield,27,Czech Republic,Lazio,Italy Serie A,46,13,10,23
2001,Vasile Miriuta,Attacking Midfield,31,Hungary,Energie Cottbus,Germany Bundesliga,31,11,11,22
2001,Alan Smith,Central Midfield,19,England,Leeds,England Premier League,52,18,3,21
2001,Míchel,Attacking Midfield,24,Spain,Rayo Vallecano,Spain LaLiga,46,16,5,21
2001,Djalminha,Attacking Midfield,29,Brazil,Dep. La Coruña,Spain LaLiga,33,13,8,21
2001,Stefano Fiore,Attacking Midfield,25,Italy,Udinese,Italy Serie A,45,9,12,21
2001,Robert Pirès,Left Midfield,26,France,Arsenal,England Premier League,51,8,13,21
2001,Gustavo Poyet,Attacking Midfield,32,Uruguay,Chelsea,England Premier League,34,12,8,20
2001,Hasan Salihamidzic,Right Midfield,23,Bosnia-Herzegovina,Bayern Munich,Germany Bundesliga,50,7,13,20
2001,Zinédine Zidane,Attacking Midfield,28,France,Juventus,Italy Serie A,39,6,14,20
2001,Lee Bowyer,Central Midfield,23,England,Leeds,England Premier League,54,14,5,19
2001,Dirk Lottner,Attacking Midfield,28,Germany,1.FC Köln,Germany Bundesliga,32,11,8,19
2001,Danny Murphy,Central Midfield,23,England,Liverpool,England Premier League,47,10,9,19
2001,Olivier Quint,Left Midfield,28,France,CS Sedan,France Ligue 1,40,10,9,19
2001,Rui Costa,Attacking Midfield,28,Portugal,Fiorentina,Italy Serie A,38,8,11,19
2001,Éric Carrière,Attacking Midfield,27,France,FC Nantes,France Ligue 1,50,8,11,19
2001,Lars Ricken,Attacking Midfield,23,Germany,Bor. Dortmund,Germany Bundesliga,32,7,12,19
2001,Luís Figo,Right Winger,27,Portugal,Real Madrid,Spain LaLiga,49,14,27,41
2001,Raúl,Second Striker,23,Spain,Real Madrid,Spain LaLiga,49,32,8,40
2001,Andriy Shevchenko,Centre-Forward,23,Ukraine,Milan,Italy Serie A,51,34,5,39
2001,Ebbe Sand,Centre-Forward,27,Denmark,FC Schalke 04,Germany Bundesliga,39,26,10,36
2001,Jimmy Floyd Hasselbaink,Centre-Forward,28,Netherlands,Chelsea,England Premier League,41,26,10,36
2001,Hernán Crespo,Centre-Forward,24,Argentina,Lazio,Italy Serie A,40,28,6,34
2001,Sonny Anderson,Centre-Forward,29,Brazil,Olympique Lyon,France Ligue 1,50,31,2,33
2001,Javi Moreno,Centre-Forward,25,Spain,Alavés,Spain LaLiga,42,28,5,33
